Timestamp,Multiplier,Color
2025-10-14 20:05:32.030614+05:30,1.19,
2025-10-14 20:05:49.492734+05:30,2.1,
2025-10-14 20:06:11.685990+05:30,4.16,
2025-10-14 20:06:30.922641+05:30,1.6,
2025-10-14 20:06:54.003749+05:30,3.92,
2025-10-14 20:07:24.695571+05:30,6.28,
2025-10-14 20:07:42.874793+05:30,2.18,
2025-10-14 20:08:00.997302+05:30,1.94,
2025-10-14 20:08:16.095358+05:30,1.42,
2025-10-14 20:08:39.783664+05:30,3.51,
2025-10-14 20:09:04.226906+05:30,3.06,
2025-10-14 20:09:12.875174+05:30,1.01,
2025-10-14 20:09:31.614282+05:30,2.58,
2025-10-14 20:10:06.431012+05:30,7.21,
2025-10-14 20:10:25.322139+05:30,2.38,
2025-10-14 20:10:40.794068+05:30,1.6,
2025-10-14 20:11:21.552231+05:30,1.38,
2025-10-14 20:11:55.352212+05:30,9.18,
2025-10-14 20:12:09.809929+05:30,1.62,
2025-10-14 20:12:23.493853+05:30,1.32,
2025-10-14 20:12:41.787840+05:30,2.25,
2025-10-14 20:13:11.523455+05:30,4.74,
2025-10-14 20:13:28.524958+05:30,1.96,
2025-10-14 20:13:51.621279+05:30,3.25,
2025-10-14 20:14:03.593220+05:30,1.27,
2025-10-14 20:14:29.328120+05:30,3.54,
2025-10-14 20:14:49.521245+05:30,2.66,
2025-10-14 20:15:28.476042+05:30,10.23,
2025-10-14 20:15:44.805596+05:30,1.92,
2025-10-14 20:16:20.945236+05:30,8.7,
2025-10-14 20:16:42.849764+05:30,2.79,
2025-10-14 20:17:03.557813+05:30,2.41,
2025-10-14 20:17:31.900511+05:30,5.55,
2025-10-14 20:17:45.462054+05:30,1.41,
2025-10-14 20:18:01.938049+05:30,1.64,
2025-10-14 20:18:21.468633+05:30,2.19,
2025-10-14 20:18:53.789854+05:30,7.08,
2025-10-14 20:19:19.640136+05:30,4.02,
2025-10-14 20:19:30.089173+05:30,1.09,
2025-10-14 20:19:40.761239+05:30,1.11,
2025-10-14 20:20:02.448759+05:30,2.58,
2025-10-14 20:20:43.476302+05:30,14.31,
2025-10-14 20:21:02.907278+05:30,2.23,
2025-10-14 20:21:24.467999+05:30,2.78,
2025-10-14 20:21:35.988901+05:30,1.22,
2025-10-14 20:21:59.838310+05:30,3.08,
2025-10-14 20:22:15.685949+05:30,1.73,
2025-10-14 20:22:28.557138+05:30,1.13,
2025-10-14 20:23:06.556362+05:30,11.47,
2025-10-14 20:23:27.199498+05:30,2.68,
2025-10-14 20:23:38.957540+05:30,1.14,
2025-10-14 20:23:51.342387+05:30,1.41,
2025-10-14 20:24:21.033513+05:30,5.11,
2025-10-14 20:24:32.381819+05:30,1.06,
2025-10-14 20:24:54.383677+05:30,2.7,
2025-10-14 20:25:09.192508+05:30,1.76,
2025-10-14 20:25:17.545828+05:30,1.0,
2025-10-14 20:25:35.226822+05:30,1.85,
2025-10-14 20:25:51.609418+05:30,1.76,
2025-10-14 20:26:27.566947+05:30,9.35,
2025-10-14 20:26:41.577705+05:30,1.21,
2025-10-14 20:26:48.230756+05:30,1.0,
2025-10-14 20:27:09.058666+05:30,2.59,
2025-10-14 20:27:50.967531+05:30,14.08,
2025-10-14 20:28:40.349661+05:30,15.28,
2025-10-14 20:28:56.038214+05:30,1.7,
2025-10-14 20:29:07.138667+05:30,1.38,
2025-10-14 20:29:45.911971+05:30,10.04,
2025-10-14 20:30:00.200029+05:30,1.74,
2025-10-14 20:30:34.294841+05:30,6.52,
2025-10-14 20:30:45.650719+05:30,1.31,
2025-10-14 20:31:04.421247+05:30,2.1,
2025-10-14 20:31:22.164827+05:30,1.91,
2025-10-14 20:31:51.313030+05:30,4.07,
2025-10-14 20:32:18.631937+05:30,5.45,
2025-10-14 20:32:32.032680+05:30,1.44,
2025-10-14 20:33:24.113999+05:30,24.03,
2025-10-14 20:33:44.926713+05:30,1.96,
2025-10-14 20:34:04.156366+05:30,3.01,
2025-10-14 20:34:20.643874+05:30,1.73,
2025-10-14 20:34:35.643747+05:30,1.53,
2025-10-14 20:34:49.838686+05:30,1.42,
2025-10-14 20:35:09.039302+05:30,2.36,
2025-10-14 20:35:31.221709+05:30,2.63,
2025-10-14 20:35:48.657140+05:30,1.76,
2025-10-14 20:35:57.899709+05:30,1.01,
2025-10-14 20:36:19.100931+05:30,2.74,
2025-10-14 20:37:02.147966+05:30,14.97,
2025-10-14 20:37:17.791305+05:30,2.01,
2025-10-14 20:37:38.077900+05:30,2.29,
2025-10-14 20:37:53.753890+05:30,1.39,
2025-10-14 20:38:10.386539+05:30,2.13,
2025-10-14 20:38:25.542731+05:30,1.64,
2025-10-14 20:38:35.632457+05:30,1.04,
2025-10-14 20:38:49.270033+05:30,1.35,
2025-10-14 20:39:20.773210+05:30,6.07,
2025-10-14 20:39:30.272508+05:30,1.07,
2025-10-14 20:39:48.036357+05:30,1.23,
2025-10-14 20:40:43.502327+05:30,4.21,
2025-10-14 20:41:05.990037+05:30,6.33,
2025-10-15 08:27:48.864368+05:30,1.12,
2025-10-15 08:28:20.379405+05:30,7.98,
2025-10-15 08:29:14.224074+05:30,21.02,
2025-10-15 08:29:24.970810+05:30,1.18,
2025-10-15 08:29:37.361822+05:30,1.15,
2025-10-15 08:29:42.769436+05:30,1.14,
2025-10-15 08:30:05.732530+05:30,1.7,
2025-10-15 08:30:18.732305+05:30,1.48,
2025-10-15 08:30:42.286621+05:30,4.73,
2025-10-15 08:31:33.695828+05:30,2.12,
